Title,Date,Valence,Chartpos,
Ella Baila Sola,2023-05-31T09:47:26Z,0.834,1
WHERE SHE GOES,2023-05-31T09:47:26Z,0.234,2
La Bebe - Remix,2023-05-31T09:47:26Z,0.559,3
un x100to,2023-05-31T09:47:26Z,0.562,4
Cupid - Twin Ver.,2023-05-31T09:47:26Z,0.726,5
Flowers,2023-05-31T09:47:26Z,0.646,6
Daylight,2023-05-31T09:47:26Z,0.324,7
Kill Bill,2023-05-31T09:47:26Z,0.418,8
As It Was,2023-05-31T09:47:26Z,0.662,9
Classy 101,2023-05-31T09:47:26Z,0.672,10
TQG,2023-05-31T09:47:26Z,0.607,11
TQM,2023-05-31T09:47:26Z,0.963,12
Calm Down (with Selena Gomez),2023-05-31T09:47:26Z,0.811,13
Anti-Hero,2023-05-31T09:47:26Z,0.533,14
Creepin' (with The Weeknd & 21 Savage),2023-05-31T09:47:26Z,0.172,15
Die For You (with Ariana Grande) - Remix,2023-05-31T09:47:26Z,0.506,16
All My Life (feat. J. Cole),2023-05-31T09:47:26Z,0.733,17
See You Again (feat. Kali Uchis),2023-05-31T09:47:26Z,0.62,18
BESO,2023-05-31T09:47:26Z,0.53,19
El Azul,2023-05-31T09:47:26Z,0.844,20
Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long),2023-05-31T09:47:26Z,0.277,21
Angels Like You,2023-05-31T09:47:26Z,0.494,22
Yandel 150,2023-05-31T09:47:26Z,0.58,23
Say Yes To Heaven,2023-05-31T09:47:26Z,0.166,24
Die For You,2023-05-31T09:47:26Z,0.508,25
Last Night,2023-05-31T09:47:26Z,0.478,26
I Wanna Be Yours,2023-05-31T09:47:26Z,0.479,27
Boy's a Liar Pt. 2,2023-05-31T09:47:26Z,0.857,28
Acróstico,2023-05-31T09:47:26Z,0.353,29
I'm Good (Blue),2023-05-31T09:47:26Z,0.304,30
Cruel Summer,2023-05-31T09:47:26Z,0.564,31
Dance The Night (From Barbie The Album),2023-05-31T09:47:26Z,0.775,32
Here With Me,2023-05-31T09:47:26Z,0.299,33
PRC,2023-05-31T09:47:26Z,0.893,34
People,2023-05-31T09:47:26Z,0.693,35
Hits Different,2023-05-31T09:47:26Z,0.239,36
Tattoo,2023-05-31T09:47:26Z,0.303,37
Moonlight,2023-05-31T09:47:26Z,0.896,38
golden hour,2023-05-31T09:47:26Z,0.153,39
Another Love,2023-05-31T09:47:26Z,0.139,40
I Ain't Worried,2023-05-31T09:47:26Z,0.822,41
Until I Found You (with Em Beihold) - Em Beihold Version,2023-05-31T09:47:26Z,0.342,42
Starboy,2023-05-31T09:47:26Z,0.486,43
AMG,2023-05-31T09:47:26Z,0.786,44
Like Crazy,2023-05-31T09:47:26Z,0.362,45
La Bachata,2023-05-31T09:47:26Z,0.85,46
Por las Noches,2023-05-31T09:47:26Z,0.392,47
Unholy (feat. Kim Petras),2023-05-31T09:47:26Z,0.206,48
Hey Mor,2023-05-31T09:47:26Z,0.399,49
Yellow,2023-05-31T09:47:26Z,0.285,50

Ella Baila Sola,2023-06-01T09:37:15Z,0.834,1
WHERE SHE GOES,2023-06-01T09:37:15Z,0.234,2
La Bebe - Remix,2023-06-01T09:37:15Z,0.559,3
un x100to,2023-06-01T09:37:15Z,0.562,4
Cupid - Twin Ver.,2023-06-01T09:37:15Z,0.726,5
Flowers,2023-06-01T09:37:15Z,0.646,6
Daylight,2023-06-01T09:37:15Z,0.324,7
Kill Bill,2023-06-01T09:37:15Z,0.418,8
As It Was,2023-06-01T09:37:15Z,0.662,9
Classy 101,2023-06-01T09:37:15Z,0.672,10
TQG,2023-06-01T09:37:15Z,0.607,11
TQM,2023-06-01T09:37:15Z,0.963,12
Calm Down (with Selena Gomez),2023-06-01T09:37:15Z,0.811,13
Creepin' (with The Weeknd & 21 Savage),2023-06-01T09:37:15Z,0.172,14
Anti-Hero,2023-06-01T09:37:15Z,0.533,15
El Azul,2023-06-01T09:37:15Z,0.844,16
Die For You (with Ariana Grande) - Remix,2023-06-01T09:37:15Z,0.506,17
BESO,2023-06-01T09:37:15Z,0.53,18
See You Again (feat. Kali Uchis),2023-06-01T09:37:15Z,0.62,19
Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long),2023-06-01T09:37:15Z,0.277,20
All My Life (feat. J. Cole),2023-06-01T09:37:15Z,0.733,21
Angels Like You,2023-06-01T09:37:15Z,0.494,22
Yandel 150,2023-06-01T09:37:15Z,0.58,23
Say Yes To Heaven,2023-06-01T09:37:15Z,0.166,24
I Wanna Be Yours,2023-06-01T09:37:15Z,0.479,25
Last Night,2023-06-01T09:37:15Z,0.478,26
Die For You,2023-06-01T09:37:15Z,0.508,27
Acróstico,2023-06-01T09:37:15Z,0.353,28
I'm Good (Blue),2023-06-01T09:37:15Z,0.304,29
Dance The Night (From Barbie The Album),2023-06-01T09:37:15Z,0.775,30
PRC,2023-06-01T09:37:15Z,0.893,31
Cruel Summer,2023-06-01T09:37:15Z,0.564,32
Here With Me,2023-06-01T09:37:15Z,0.299,33
People,2023-06-01T09:37:15Z,0.693,34
Boy's a Liar Pt. 2,2023-06-01T09:37:15Z,0.857,35
Tattoo,2023-06-01T09:37:15Z,0.303,36
Moonlight,2023-06-01T09:37:15Z,0.896,37
I Ain't Worried,2023-06-01T09:37:15Z,0.822,38
Another Love,2023-06-01T09:37:15Z,0.139,39
golden hour,2023-06-01T09:37:15Z,0.153,40
AMG,2023-06-01T09:37:15Z,0.786,41
Like Crazy,2023-06-01T09:37:15Z,0.362,42
Until I Found You (with Em Beihold) - Em Beihold Version,2023-06-01T09:37:15Z,0.342,43
Starboy,2023-06-01T09:37:15Z,0.486,44
Por las Noches,2023-06-01T09:37:15Z,0.392,45
La Bachata,2023-06-01T09:37:15Z,0.85,46
Hey Mor,2023-06-01T09:37:15Z,0.399,47
Unholy (feat. Kim Petras),2023-06-01T09:37:15Z,0.206,48
Bye,2023-06-01T09:37:15Z,0.7,49
Shakira: Bzrp Music Sessions, Vol. 53,2023-06-01T09:37:15Z,0.498,50

Ella Baila Sola,2023-06-01T09:37:15Z,0.834,1
WHERE SHE GOES,2023-06-01T09:37:15Z,0.234,2
La Bebe - Remix,2023-06-01T09:37:15Z,0.559,3
un x100to,2023-06-01T09:37:15Z,0.562,4
Cupid - Twin Ver.,2023-06-01T09:37:15Z,0.726,5
Flowers,2023-06-01T09:37:15Z,0.646,6
Daylight,2023-06-01T09:37:15Z,0.324,7
Kill Bill,2023-06-01T09:37:15Z,0.418,8
As It Was,2023-06-01T09:37:15Z,0.662,9
Classy 101,2023-06-01T09:37:15Z,0.672,10
TQG,2023-06-01T09:37:15Z,0.607,11
TQM,2023-06-01T09:37:15Z,0.963,12
Calm Down (with Selena Gomez),2023-06-01T09:37:15Z,0.811,13
Creepin' (with The Weeknd & 21 Savage),2023-06-01T09:37:15Z,0.172,14
Anti-Hero,2023-06-01T09:37:15Z,0.533,15
El Azul,2023-06-01T09:37:15Z,0.844,16
Die For You (with Ariana Grande) - Remix,2023-06-01T09:37:15Z,0.506,17
BESO,2023-06-01T09:37:15Z,0.53,18
See You Again (feat. Kali Uchis),2023-06-01T09:37:15Z,0.62,19
Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long),2023-06-01T09:37:15Z,0.277,20
All My Life (feat. J. Cole),2023-06-01T09:37:15Z,0.733,21
Angels Like You,2023-06-01T09:37:15Z,0.494,22
Yandel 150,2023-06-01T09:37:15Z,0.58,23
Say Yes To Heaven,2023-06-01T09:37:15Z,0.166,24
I Wanna Be Yours,2023-06-01T09:37:15Z,0.479,25
Last Night,2023-06-01T09:37:15Z,0.478,26
Die For You,2023-06-01T09:37:15Z,0.508,27
Acróstico,2023-06-01T09:37:15Z,0.353,28
I'm Good (Blue),2023-06-01T09:37:15Z,0.304,29
